Student_ID,Name,Gender,Age,Department,Year,Attendance,Study_Hours,Current_GPA
S0049,Deborah Compton,Male,24,Science,3,91.91,4.1,2.58
S0050,Christine Conrad,Male,21,Science,4,98.27,4.2,2.15
S0051,Gloria Moon,Male,21,Arts,3,57.75,6.7,3.01
S0052,Cathy Randolph,Female,22,Commerce,3,75.62,2.6,2.05
S0053,Brian Santana,Male,22,Commerce,3,68.66,6.0,3.37
S0054,Heather Hawkins,Male,19,Commerce,3,97.73,8.1,3.59
S0055,Christopher Haas,Female,19,Science,2,98.06,6.8,2.79
S0056,Kimberly Hines,Male,25,Commerce,1,51.29,6.2,2.47
S0057,John Hale,Female,21,Science,3,54.23,3.7,2.21
S0058,Nicholas Delgado,Male,19,Arts,3,56.46,9.6,3.35
S0059,Joshua Ramos,Female,23,Commerce,4,87.45,9.9,2.05
S0060,Joseph Mitchell,Female,23,Engineering,3,86.95,7.7,3.86
S0061,Dr. Michael Oliver MD,Male,19,Commerce,3,73.32,6.1,3.33
S0062,Todd Downs,Female,23,Engineering,3,56.78,3.4,3.67
S0063,Destiny Campbell,Male,22,Arts,2,54.56,2.9,3.0
S0064,David Flores,Female,18,Engineering,1,55.43,6.6,3.72
S0065,Amanda Bell,Male,21,Science,1,86.81,2.2,3.32
S0066,Marissa Thomas,Male,20,Engineering,4,73.84,7.5,2.28
S0067,Tyler Hernandez,Male,20,Arts,2,79.73,3.8,2.94
S0068,Sara Thomas,Female,20,Engineering,4,91.17,6.9,2.88
S0069,Pamela Jackson,Female,25,Arts,1,55.43,2.2,3.74
S0070,Crystal Hancock,Female,22,Engineering,1,54.91,4.5,3.96
S0071,Crystal Reynolds MD,Female,20,Science,2,91.09,4.7,2.0
S0072,Jessica Clark,Male,23,Arts,1,59.12,2.1,2.91
S0073,Jacob Edwards,Female,20,Science,3,58.48,7.8,3.23
S0074,Donald Meyers,Male,19,Engineering,2,78.68,1.0,3.49
S0075,John Bowman,Male,19,Science,4,79.35,2.7,2.85
S0076,Frank Choi,Male,21,Arts,1,76.27,5.7,3.06
S0077,Joseph Reyes,Male,24,Commerce,2,89.42,9.6,3.11
S0078,Tamara Davis,Male,25,Engineering,2,93.43,9.5,3.38
S0079,Carmen Willis,Male,18,Commerce,2,63.47,4.9,3.34
S0080,Crystal Brown,Female,25,Arts,3,80.13,8.8,3.88
S0081,Catherine Becker DDS,Female,22,Science,4,75.43,7.8,2.67
S0082,Denise Lester,Male,25,Science,1,84.27,5.3,3.29
S0083,Michael Henderson,Female,25,Engineering,2,70.95,3.8,3.76
S0084,Johnny Johnson,Male,24,Commerce,3,89.14,4.8,3.47
S0085,Anna Lawson,Male,19,Commerce,2,62.47,7.6,3.32
S0086,Monique Brown,Female,25,Commerce,3,58.13,6.1,3.34
S0087,Jason Stevens,Female,23,Science,4,61.51,9.1,3.89
S0088,Louis Richards,Female,22,Engineering,3,83.53,7.2,3.47
S0089,Mary Duran,Male,20,Arts,3,92.59,4.7,2.18
S0090,Christopher Carpenter,Male,20,Science,4,81.46,4.6,2.23
S0091,Jennifer Simpson,Female,24,Engineering,4,81.5,1.9,2.58
S0092,Matthew Jones,Male,24,Science,1,74.85,4.1,3.59
S0093,Sydney Hunter,Male,24,Commerce,3,92.62,1.9,3.66
S0094,Madeline Gomez,Female,18,Engineering,1,51.1,7.9,3.08
S0095,Nicole Roth,Female,21,Arts,4,60.51,6.5,2.15
S0096,Heather Davis,Female,19,Science,1,51.17,3.6,2.12
S0097,Jeffery Ware,Male,24,Commerce,2,90.71,1.5,3.64
S0098,Anthony Turner,Female,18,Arts,3,96.32,3.7,2.23
S0099,Jose Walker,Male,20,Commerce,1,59.75,2.3,3.01
S0100,Jacob Robinson,Female,24,Commerce,4,76.56,3.6,3.98
S0101,Brandy Dixon,Male,18,Arts,2,78.33,3.4,3.27
S0102,Craig Terrell,Female,23,Science,1,91.08,3.7,3.07
S0103,Amanda Smith,Male,24,Commerce,4,91.48,1.6,2.97
S0104,Rachel Palmer,Female,21,Arts,2,94.29,9.9,3.24
S0105,Chelsea Martinez,Female,21,Commerce,1,57.89,5.5,2.99
S0106,Nichole Deleon,Male,24,Commerce,4,59.15,1.9,3.69
S0107,Angela Cameron,Female,18,Commerce,1,97.33,5.2,3.73
S0108,Randy Carter,Male,25,Arts,1,74.19,1.6,3.96
S0109,Shannon Stone,Male,18,Arts,2,58.04,1.4,3.49
S0110,Katherine Lee,Male,23,Engineering,4,63.31,9.7,3.97
S0111,Elizabeth Contreras,Female,25,Engineering,4,99.69,1.7,2.66
S0112,Brenda Wells,Female,20,Science,4,72.97,3.9,3.47
S0113,Crystal Olson,Male,22,Commerce,2,89.53,5.2,2.4
S0114,Jessica Mckinney,Male,20,Commerce,4,83.93,5.0,3.98
S0115,Carolyn Patton,Male,24,Arts,2,88.08,4.5,3.66
S0116,Carl Dillon,Male,22,Arts,3,83.07,8.2,3.91
S0117,Samantha Salinas,Male,23,Commerce,2,77.24,8.8,3.96
S0118,Rebecca Roth,Male,18,Arts,1,91.3,8.9,2.13
S0119,Jonathan Norman,Male,22,Commerce,3,66.17,6.0,2.31
S0120,Ashley Hernandez,Female,23,Science,2,94.09,8.5,3.47
S0121,Candace Boyer,Female,24,Engineering,3,69.66,2.8,3.63
S0122,Erica Wilson,Female,24,Commerce,1,70.24,2.3,2.91
S0123,Michael Martinez,Female,21,Arts,4,90.09,9.9,3.97
S0124,Jennifer Frederick,Male,20,Arts,3,77.49,5.9,2.6
S0125,Mike Adams,Male,23,Arts,1,88.91,3.5,3.9
S0126,Lisa Davis,Male,23,Engineering,2,96.47,2.0,3.47
S0127,Thomas Woods,Female,22,Commerce,4,54.05,2.4,2.58
S0128,Ian Wagner,Male,20,Arts,1,73.88,7.2,3.06
S0129,Shannon Oneill,Male,25,Engineering,4,60.42,3.8,3.56
S0130,Jessica Daniels,Female,20,Engineering,2,60.98,9.2,2.3
S0131,Edward Graham,Female,21,Commerce,4,92.42,7.0,2.36
S0132,James Moore,Male,19,Engineering,4,68.22,2.2,3.18
S0133,Rachel Kim,Female,18,Science,3,61.67,4.2,2.55
S0134,Christy Jackson,Female,25,Commerce,2,52.5,7.0,3.11
S0135,Elizabeth Collins,Female,19,Science,3,92.33,4.1,3.95
S0136,Sheila Brown,Male,24,Commerce,2,76.23,2.6,3.68
S0137,Melissa Williams,Male,22,Arts,4,54.86,2.9,3.64
S0138,Priscilla Andrews,Female,23,Science,2,91.14,6.7,2.47
S0139,Tammy Fowler MD,Female,23,Engineering,2,56.48,6.0,3.72
S0140,Christopher Wilcox,Male,22,Engineering,3,82.34,9.2,2.75
S0141,Jason Davis,Female,18,Arts,2,63.66,6.4,3.69
S0142,Lydia Carlson,Female,24,Science,3,88.16,4.8,3.0
S0143,Nancy Lawrence,Male,21,Engineering,2,83.07,6.1,3.45
S0144,Susan Webster,Female,18,Commerce,3,98.9,3.3,2.08
S0145,Benjamin Nelson,Female,21,Commerce,2,62.9,7.8,2.11
S0146,Daniel Silva,Male,22,Commerce,4,99.99,2.9,3.93
S0147,Andre Krause,Male,18,Commerce,3,61.77,3.6,3.83
S0148,Aaron Johnson,Male,22,Science,3,79.1,1.3,2.5
S0149,Donald Harris,Female,21,Science,4,74.88,9.1,2.54
S0150,Bryan Turner,Female,21,Commerce,3,58.26,4.4,3.39
S0151,Robert Davis,Male,21,Engineering,4,69.81,4.6,3.64
S0152,Michael Miller,Male,21,Science,3,65.15,9.9,3.36
S0153,Lisa Ali,Female,18,Engineering,2,91.26,5.5,2.78
S0154,Crystal Kennedy,Female,25,Arts,2,73.64,6.3,3.03
S0155,Angelica Peters,Male,18,Engineering,3,54.65,7.5,2.82
S0156,Christopher Martinez,Male,24,Science,4,94.97,5.3,3.33
S0157,Bridget Hardy,Male,19,Arts,1,97.74,1.2,3.77
S0158,John Edwards,Female,25,Science,1,60.93,6.7,2.76
S0159,Jacqueline Turner,Male,21,Arts,4,99.96,6.0,2.44
S0160,Mary Taylor,Female,20,Engineering,1,75.7,6.4,3.31
S0161,Courtney Fletcher,Female,19,Arts,1,64.37,5.3,3.48
S0162,Rachel Taylor,Male,23,Commerce,2,57.74,4.3,3.33
S0163,Natalie Bryant,Male,23,Arts,4,65.01,9.7,2.35
S0164,Elizabeth Adkins,Male,23,Science,3,79.88,5.3,3.64
S0165,Kenneth Schaefer,Male,24,Arts,1,62.06,4.7,2.07
S0166,Rebecca Gutierrez,Female,20,Science,1,96.21,4.5,3.49
S0167,Mark Phillips,Male,21,Arts,3,73.17,5.0,3.0
S0168,Michael Mercado,Female,24,Arts,3,52.25,9.9,2.51
S0169,Robin Fox,Female,20,Arts,2,63.33,4.7,2.56
S0170,Margaret Harmon,Male,24,Commerce,2,59.52,3.8,3.12
S0171,Robert Stewart,Female,18,Engineering,4,89.44,9.7,3.53
S0172,Jacqueline Cortez,Male,23,Science,1,92.93,6.9,2.4
S0173,Spencer Powers,Female,24,Arts,4,85.47,6.6,3.84
S0174,Gwendolyn Hunter MD,Male,18,Engineering,2,90.59,3.1,3.56
S0175,Debbie Ayala,Male,22,Arts,1,89.44,7.7,3.95
S0176,John Hill,Male,18,Science,3,97.0,5.7,3.39
S0177,Elaine Williams,Female,25,Science,4,92.08,8.1,3.37
S0178,Paul Huang,Male,18,Arts,1,96.49,9.1,3.75
S0179,Rachel Allen,Male,21,Arts,3,88.38,3.8,2.11
S0180,Keith Mckay,Male,20,Science,3,82.7,1.0,3.52
S0181,Amanda Lawrence,Female,25,Commerce,2,96.18,3.9,2.96
S0182,Stefanie Wright,Female,24,Engineering,3,59.81,3.9,2.22
S0183,Steven Wilson,Female,23,Commerce,2,78.66,5.6,2.8
S0184,Richard Glover,Female,20,Commerce,1,76.16,5.4,3.43
S0185,Kimberly Richardson,Female,19,Engineering,3,96.62,7.7,3.35
S0186,Brenda Cameron,Male,24,Commerce,2,61.02,5.6,3.46
S0187,Jesse Hill,Male,21,Commerce,3,98.45,3.3,3.79
S0188,Russell Chan,Male,25,Arts,3,81.73,3.5,2.57
S0189,Susan Clarke,Male,19,Commerce,1,68.28,9.5,2.7
S0190,Karen Valenzuela,Female,22,Commerce,4,50.19,6.3,2.97
S0191,Julie Shaffer,Male,22,Arts,3,72.67,2.4,2.46
S0192,Jason Young,Female,24,Science,3,99.91,2.1,3.92
S0193,William Johnson,Male,20,Science,2,81.19,6.2,2.25
S0194,Michael Bishop,Male,22,Commerce,3,76.76,3.4,2.69
S0195,Tonya Hall,Female,18,Commerce,1,78.39,3.8,2.92
S0196,Derek Mendoza,Female,24,Commerce,1,52.44,6.4,2.71
S0197,Ronald Hernandez,Male,22,Science,3,62.49,3.3,3.92
S0198,Samantha Peterson,Male,25,Engineering,4,98.97,6.9,3.5
S0199,Kelly Taylor,Male,23,Science,4,80.6,6.9,3.71
S0200,Kellie Ortega,Female,25,Arts,2,74.82,7.6,2.37
S0201,Janice Mcgrath,Male,22,Arts,3,90.45,6.9,2.8
S0202,Sergio Hernandez DDS,Male,24,Arts,1,81.03,3.2,3.67
S0203,Sarah Smith,Female,19,Commerce,1,67.0,4.0,2.76
S0204,Diane Webb,Female,23,Science,4,76.52,5.4,2.01
S0205,Barbara Johnson,Male,23,Commerce,4,84.17,8.8,2.91
S0206,Jessica Grant,Male,18,Arts,4,80.38,7.6,3.16
S0207,Heather Hardy,Female,20,Science,1,62.86,6.5,3.13
S0208,Allen Rojas,Male,23,Engineering,2,58.78,5.8,3.07
S0209,John Obrien,Female,22,Science,2,53.8,3.2,3.22
S0210,Jaclyn Nolan,Male,25,Commerce,2,99.0,7.2,3.71
S0211,Kevin Jones,Male,19,Commerce,2,93.72,9.1,2.12
S0212,Jonathan Garrett,Female,22,Commerce,3,51.84,5.5,2.08
S0213,Kristine Vasquez,Female,19,Arts,1,97.54,6.4,2.86
S0214,Jennifer Hanna,Male,22,Arts,3,93.1,8.1,2.28
S0215,Daniel Williams,Male,24,Science,4,85.03,5.8,2.67
S0216,Jeffrey Miller,Male,19,Science,3,77.39,2.9,3.21
S0217,Adam Deleon,Female,23,Arts,1,66.25,4.7,2.69
S0218,Jennifer Bowen,Male,23,Commerce,2,79.81,6.1,2.04
S0219,Matthew Martin,Male,23,Arts,1,83.33,6.2,3.36
S0220,Melissa Jones,Male,25,Arts,2,95.04,1.6,2.58
S0221,Samantha Freeman,Male,21,Arts,3,99.85,7.2,2.39
S0222,Kathryn Kelly,Male,25,Engineering,1,96.83,5.8,3.67
S0223,Mary Santana,Female,23,Arts,2,52.52,2.9,2.98
S0224,David Gill,Male,24,Commerce,1,88.46,4.3,2.76
S0225,Paul Spears,Male,24,Engineering,1,60.7,4.3,3.35
S0226,Christina Huang,Male,21,Commerce,1,72.67,3.5,3.5
S0227,Curtis Delgado,Male,23,Science,1,93.7,8.6,2.15
S0228,Darlene Wright,Male,24,Science,2,62.69,2.6,2.55
S0229,Todd Johnston,Female,18,Arts,1,65.6,5.6,3.16
S0230,Sandra Watson,Female,20,Commerce,1,99.23,1.7,3.38
S0231,Travis Chan,Male,22,Arts,3,70.13,9.0,2.98
S0232,Brandon Taylor,Female,18,Arts,3,71.28,8.9,2.52
S0233,Matthew Howard,Male,20,Engineering,4,85.26,9.1,2.9
S0234,Sandra Vaughn,Male,25,Science,3,73.87,1.4,2.68
S0235,Monica Jordan,Female,24,Engineering,1,68.54,8.9,3.43
S0236,Anthony Bush,Female,19,Science,3,96.5,8.5,3.46
S0237,William Johnson,Female,24,Commerce,4,58.31,6.9,2.87
S0238,Robert Bowman,Male,24,Arts,3,53.26,4.5,3.75
S0239,Lisa Daniel,Female,22,Commerce,3,84.63,2.7,2.94
S0240,Angela Sanchez,Male,23,Arts,3,75.38,6.9,3.05
S0241,Victor Powell,Male,23,Engineering,2,59.99,1.3,2.11
S0242,Richard Blanchard,Female,22,Science,4,90.92,5.8,2.47
S0243,Kimberly Thomas,Female,25,Science,4,68.21,7.5,2.13
S0244,Ray Velazquez,Male,25,Commerce,1,60.27,4.5,3.75
S0245,Brandon Smith,Female,18,Science,2,95.93,9.5,2.65
S0246,Joshua Ford,Female,23,Commerce,2,58.34,4.3,3.74
S0247,Timothy Mccoy,Male,18,Science,2,60.28,9.8,3.52
S0248,Edward Martinez,Male,22,Science,4,52.79,4.6,3.08
S0249,Cynthia Reynolds,Female,21,Arts,1,96.52,9.7,3.81
S0250,Victoria Green,Male,24,Science,2,66.81,6.6,2.02
S0251,Jordan Dixon,Female,23,Arts,1,90.14,1.2,3.84
S0252,Dawn Reyes,Male,23,Commerce,2,68.17,9.6,2.89
S0253,Shannon Gaines,Female,23,Engineering,2,69.72,8.0,2.65
S0254,Scott Tyler,Male,21,Engineering,3,50.4,7.7,3.31
S0255,Sarah Walker,Female,23,Arts,2,80.01,9.2,3.87
S0256,Denise Hill,Male,19,Commerce,3,57.18,2.4,2.37
S0257,Scott Davis,Male,18,Commerce,1,53.08,2.9,3.19
S0258,Anna Lewis,Male,25,Science,1,51.59,2.5,2.13
S0259,Jennifer Evans,Male,18,Commerce,4,87.0,1.8,2.32
S0260,Amanda Benson,Female,23,Science,1,81.12,7.9,3.88
S0261,Christina Sutton,Male,21,Commerce,3,70.61,3.8,2.01
S0262,Michael Lee,Female,22,Commerce,2,80.43,5.6,3.87
S0263,Jason Nelson,Male,18,Engineering,2,75.42,3.7,3.17
S0264,Joseph Wells,Male,23,Commerce,3,68.11,3.3,3.3
S0265,Paul Bradford,Male,25,Arts,2,51.23,3.7,2.23
S0266,Adrian Daugherty,Male,19,Commerce,4,87.66,9.5,3.73
S0267,Curtis Perez,Male,23,Arts,4,77.48,1.1,2.54
S0268,Charles Klein,Male,19,Science,2,94.32,7.4,3.17
S0269,David Perkins,Male,18,Science,4,93.92,4.2,3.41
S0270,Stephen Fitzgerald,Male,23,Arts,4,65.33,3.1,3.0
S0271,Jason Boyer,Female,19,Engineering,1,54.04,9.9,2.35
S0272,Bethany Alexander,Female,20,Arts,3,81.27,9.9,2.75
S0273,Rebecca Smith,Male,18,Commerce,2,88.52,5.8,2.26
S0274,Steven Brewer,Female,20,Arts,1,55.34,1.9,2.34
S0275,Maria Andrade,Female,18,Arts,1,56.38,4.7,3.32
S0276,Jennifer Miller,Female,18,Science,3,54.18,1.6,2.17
S0277,Jamie Walker,Female,24,Arts,1,62.58,8.9,2.32
S0278,Julie Miller,Female,18,Arts,2,78.13,8.1,3.77
S0279,Lori Smith,Female,23,Commerce,3,97.8,7.2,3.65
S0280,Mary Harrell,Female,24,Commerce,4,85.55,6.6,2.3
S0281,Megan Phillips,Male,24,Commerce,4,53.0,9.7,3.17
S0282,Allison Jenkins,Male,19,Commerce,3,59.75,5.3,3.22
S0283,Matthew Murphy,Male,22,Engineering,1,73.66,8.4,3.83
S0284,Joseph Rios,Male,25,Engineering,2,76.91,4.1,3.61
S0285,Victoria Wilson,Male,25,Arts,1,97.63,2.8,2.94
S0286,Joy Daniels,Female,22,Commerce,4,87.34,5.0,2.4
S0287,Tracy Lewis,Female,22,Commerce,2,72.49,7.3,2.42
S0288,David Li,Male,25,Engineering,3,66.01,3.9,3.52
S0289,Gary Maldonado,Female,22,Arts,2,98.11,5.9,3.35
S0290,Anna Jenkins,Female,22,Engineering,3,71.81,8.0,2.0
S0291,Allison Dalton,Male,22,Arts,1,73.19,8.7,2.82
S0292,Stephanie Reilly,Female,22,Arts,1,99.21,3.8,2.31
S0293,Keith Bowen,Female,22,Engineering,2,52.41,1.5,2.49
S0294,Cynthia Graham,Male,23,Engineering,4,72.17,3.8,2.76
S0295,Adam Ramirez,Male,19,Commerce,3,54.86,3.4,2.45
S0296,Tyler Perez,Female,25,Engineering,2,73.78,5.2,2.66
S0297,Lisa Martinez,Male,23,Arts,3,64.82,7.3,2.48
S0298,Dylan Morales,Male,19,Commerce,1,94.95,1.8,3.19
S0299,Donna Harris,Female,18,Arts,2,95.67,8.3,2.26
S0300,Jose Lucas,Male,20,Engineering,1,97.85,1.8,3.55
S0301,Diane Lopez,Female,22,Commerce,4,69.1,3.0,3.68
S0302,Andrew Phillips,Female,18,Arts,4,88.25,3.4,3.81
S0303,Colton Rodriguez,Female,25,Arts,2,61.91,6.8,2.57
S0304,Patrick Clarke,Male,23,Arts,2,70.39,8.4,3.04
S0305,Susan Hardin,Female,24,Science,3,62.79,2.4,2.62
S0306,Carolyn Ward,Male,18,Engineering,3,53.39,2.6,2.47
S0307,Austin Jarvis,Male,21,Engineering,3,63.18,6.2,2.85
S0308,Steven Stewart,Female,21,Commerce,4,85.98,4.0,2.01
S0309,Thomas Brown,Male,23,Engineering,4,98.59,9.6,2.77
S0310,Ryan Gutierrez,Female,19,Commerce,2,60.79,7.1,2.49
S0311,Edwin Morris,Female,24,Science,4,97.89,3.0,3.57
S0312,Joseph Chen,Male,21,Engineering,2,62.36,6.8,3.12
S0313,Jeremy Brown,Male,18,Engineering,1,86.75,8.0,2.21
S0314,Walter James,Male,25,Arts,1,97.93,2.2,3.39
S0315,Kyle Dixon,Female,23,Science,4,95.45,9.9,2.57
S0316,Zachary Gonzalez,Male,21,Arts,2,67.23,6.8,3.8
S0317,Kim Davis,Female,19,Engineering,1,53.09,3.8,3.37
S0318,Brianna Clark,Male,19,Arts,4,90.29,9.7,3.55
S0319,Betty Smith,Male,25,Commerce,4,62.37,2.4,3.85
S0320,Heather Carroll,Male,19,Science,1,70.48,7.6,2.93
S0321,Amy Montoya,Female,20,Commerce,2,60.49,6.3,3.76
S0322,Donna Jackson,Female,24,Arts,4,91.16,6.6,2.37
S0323,Matthew Clark,Female,18,Engineering,1,59.45,3.1,2.51
S0324,Janet Turner,Female,20,Science,3,99.51,9.7,3.53
S0325,Amy Garcia,Female,22,Science,2,80.1,9.7,2.01
S0326,Mrs. Nicole Roberts,Female,19,Science,4,78.74,7.9,3.21
S0327,Tracy Medina,Male,23,Engineering,1,97.66,2.8,2.76
S0328,Rebecca Brown,Male,21,Arts,1,75.79,2.3,2.22
S0329,Brett Short,Male,24,Science,4,59.93,5.1,3.32
S0330,Jay Stein,Female,20,Arts,3,75.4,2.9,2.47
S0331,Nicholas Patton,Male,22,Engineering,4,80.6,1.1,2.01
S0332,Jennifer Brown,Female,25,Science,2,83.66,5.8,3.65
S0333,Cameron Richardson,Male,20,Commerce,3,66.33,4.3,2.67
S0334,Tracey Oneal,Male,20,Commerce,4,61.81,1.4,3.56
S0335,Danielle Mcdonald,Female,21,Science,4,98.66,4.1,2.18
S0336,Terri Myers,Male,19,Science,2,70.74,4.2,3.02
S0337,Teresa White,Female,24,Arts,1,50.49,7.8,2.26
S0338,Anthony Johnson,Male,21,Commerce,2,55.36,7.4,2.52
S0339,Elizabeth Miller,Male,19,Commerce,2,92.09,9.2,3.51
S0340,Kristy Miller,Female,19,Arts,3,98.08,1.5,3.02
S0341,Brandon Briggs,Male,19,Engineering,2,90.38,6.7,3.29
S0342,Mr. Bryan Harris,Male,21,Commerce,2,94.96,3.9,2.79
S0343,Steven Perez,Male,24,Commerce,4,64.07,5.0,3.95
S0344,Cameron Howard,Male,25,Engineering,3,61.57,2.8,3.33
S0345,Katie Crosby,Female,19,Commerce,4,98.12,6.3,3.97
S0346,Brenda Hunt,Male,23,Commerce,4,87.45,3.5,2.25
S0347,Jennifer Atkinson,Female,24,Science,4,51.3,1.7,3.49
S0348,Paul Cuevas,Male,18,Commerce,2,68.31,2.8,2.45
S0349,Chad Lloyd,Male,25,Arts,3,86.61,6.0,2.27
S0350,Angela Zamora,Male,25,Commerce,1,77.4,4.0,3.55
S0351,Cynthia Case,Male,19,Commerce,1,79.82,1.3,3.43
S0352,Rebecca Rowe,Female,25,Science,2,98.45,2.0,3.71
S0353,Kellie Hernandez,Female,24,Engineering,2,98.68,2.5,2.19
S0354,Scott Gonzalez,Female,18,Engineering,1,52.28,1.8,2.69
S0355,Eric Trujillo,Female,19,Engineering,1,93.12,2.4,3.0
S0356,Isabel Fowler,Male,20,Commerce,1,56.22,7.9,2.66
S0357,Lisa Baldwin,Female,20,Engineering,1,76.88,2.3,3.18
S0358,Megan Brown,Male,24,Commerce,1,72.8,1.4,3.58
S0359,Christopher Howard,Female,18,Commerce,2,90.48,5.2,3.73
S0360,Joshua Holmes,Female,19,Commerce,2,90.25,5.7,3.56
S0361,Travis White,Male,23,Science,2,66.86,4.0,2.89
S0362,Morgan Roberts,Male,23,Engineering,4,59.73,6.4,3.53
S0363,Erin Kane,Female,20,Arts,4,80.41,5.9,2.99
S0364,Darlene Stephenson,Female,22,Arts,2,58.79,6.1,2.54
S0365,Lisa Bell,Female,20,Science,3,76.92,7.0,2.51
S0366,Laura Turner,Male,25,Engineering,2,84.2,6.2,2.42
S0367,Jeffery Green,Female,23,Commerce,4,69.77,4.4,2.2
S0368,Richard Reese,Female,21,Commerce,3,92.58,4.0,2.26
S0369,Daryl Weeks,Male,23,Science,2,89.99,5.1,2.83
S0370,Pamela Short,Male,22,Commerce,2,64.65,3.2,3.03
S0371,Michael Archer,Male,18,Engineering,1,85.71,9.4,2.53
S0372,Donna Young,Male,21,Science,2,78.99,1.2,3.65
S0373,Samantha Jimenez,Female,21,Commerce,2,54.91,2.9,2.12
S0374,Lisa Bennett,Male,18,Science,1,51.35,8.2,2.93
S0375,Andrea Grant,Male,18,Arts,3,74.78,6.9,2.6
S0376,Sarah Roberts,Male,20,Engineering,1,63.04,2.3,2.47
S0377,Paul Garcia,Male,20,Arts,3,91.97,6.1,2.49
S0378,Jared Mcintyre,Male,25,Science,4,92.54,4.7,3.87
S0379,Melissa Liu,Female,24,Engineering,3,86.21,4.1,2.88
S0380,Bradley Velasquez,Female,21,Commerce,2,94.14,4.1,2.22
S0381,Anthony Baker,Female,22,Science,4,73.03,6.7,3.18
S0382,Chelsea Howard,Female,19,Arts,1,53.84,7.7,2.45
S0383,Sherri Stanley,Female,25,Engineering,2,54.88,6.5,3.85
S0384,Katie Foster,Female,25,Commerce,1,87.52,8.4,3.57
S0385,Pamela Rivera,Female,20,Arts,2,86.7,8.2,2.24
S0386,Alex Martin,Male,24,Science,4,98.29,2.4,3.09
S0387,Destiny Liu,Female,19,Engineering,4,78.44,1.1,2.56
S0388,Jennifer Shaw,Male,23,Engineering,1,83.81,2.2,2.58
S0389,Michael Hill,Female,25,Commerce,1,79.77,2.5,2.25
